Id,Aum,DiscretionaryInvestmentAumPercent,AverageBasisPointsForAdvisory
580,150000.0,100.0,1.25
581,150.0,20.0,0.9
582,415000000.0,85.0,62.0
583,415000000.0,85.0,62.0
585,300000000.0,1.0,0.31
588,300000000.0,1.0,0.29
589,364651875.0,1.0,31.0
590,315000000.0,1.0,0.31
591,330750000.0,1.0,0.31
592,347287500.0,1.0,0.31
593,211000000.0,0.0,0.0
594,211000000.0,0.0,80.0
596,793924214.95,45.0,51.0
597,793924214.95,45.0,51.0
598,90574000.0,0.0,125.0
599,196000000.0,65.0,1.13
600,196000000.0,65.0,1.13
601,165000000.0,100.0,100.0
602,32500000.0,40.0,90.0
603,88449233.0,0.0,100.0
604,35490771.0,20.0,1.0
605,330000000.0,20.0,0.7
606,127000000.0,0.0,100.0
607,58000000.0,6.0,101.0
608,125000000.0,0.0,1.0
609,82097827.0,1.0,1.0
610,82097827.0,1.0,1.0
611,82097827.0,1.0,1.0
612,54000000.0,0.0,100.0
613,168500000.0,0.0,120.0
614,145000000.0,50.0,100.0
615,130000000.0,0.0,100.0
616,130000000.0,0.0,100.0
617,1800000.0,0.0,0.0
618,36000000.0,0.0,100.0
619,50000000.0,0.0,100.0
620,111.0,98.0,100.0
621,210000000.0,40.0,115.0
622,210000000.0,40.0,115.0
623,18000000.0,0.0,100.0
625,180000000.0,80.0,100.0
626,220000.0,30.0,100.0
627,58149383.0,0.0,0.0
628,135000000.0,50.0,75.0
629,85159734.0,5.0,90.0
630,85159734.0,5.0,90.0
631,42000000.0,0.0,0.0
632,170000000.0,0.0,100.0
633,52304659.56,0.0,1.0
634,52304659.56,0.0,1.0
635,65000000.0,0.0,50.0
636,82000000.0,95.0,120.0
637,100000000.0,1.0,100.0
638,28000000.0,0.0,0.0
639,262000000.0,60.0,57.0
640,390000000.0,100.0,80.0
641,133266598.0,40.0,100.0
642,225000000.0,0.0,100.0
643,30000000.0,0.0,0.0
644,161542625.0,20.0,125.0
646,150000000.0,0.0,100.0
647,103000000.0,0.0,100.0
648,356838456.0,19.0,90.0
649,90000000.0,100.0,1.0
650,90000000.0,100.0,1.0
651,210000000.0,60.0,1.2
652,210000000.0,60.0,1.2
653,78000000.0,0.0,81.0
654,20000000.0,0.0,1.0
655,165000000.0,33.0,100.0
656,165000000.0,33.0,100.0
657,57000000.0,20.0,100.0
658,57000000.0,20.0,100.0
660,60000000.0,0.0,0.0
661,96000000.0,19.0,1.0
662,960000.0,19.0,1.0
663,162130327.07,58.0,1.0
664,104000000.0,10.0,88.0
665,27265267.0,0.0,100.0
666,160000000.0,100.0,100.0
667,70000000.0,20.0,1.0
668,130000000.0,25.0,1.15
669,365000000.0,0.0,100.0
670,55000000.0,50.0,100.0
671,100111000.0,100.0,100.0
672,132800000.0,60.0,1.2
673,59000000.0,0.0,0.9
674,17000000.0,0.0,0.0
675,72115334.0,85.0,90.0
676,132085714.0,0.0,0.75
677,132615868.0,0.0,1.25
678,25000000.0,100.0,1.25
679,43000000.0,52.0,1.0
680,63867501.0,0.0,0.75
681,70000000.0,0.0,1.3
682,164640489.0,0.0,100.0
683,997135508.0,53.0,100.0
684,66900000.0,95.0,9.6
685,66900000.0,100.0,0.96
686,224032069.0,0.0,1.25
687,139475865.0,61.6,1.0
688,139475865.0,61.6,100.0
689,150000000.0,0.0,50.0
691,59000000.0,0.0,85.0
692,400000.0,0.0,50.0
693,1400000000.0,0.0,0.0
696,148000000.0,25.0,100.0
697,267000000.0,0.0,80.0
698,100000000.0,0.0,100.0
700,125000000.0,80.0,120.0
701,135000.0,82.0,100.0
702,48281230.0,0.0,85.0
703,72000000.0,0.0,100.0
704,72000000.0,0.0,100.0
705,332000000.0,53.0,1.25
706,50000000.0,90.0,1.0
707,156000000.0,0.0,100.0
708,30000000.0,75.0,1.25
710,60000000.0,0.0,100.0
711,137355641.0,0.0,55.0
712,78000000.0,0.0,90.0
713,22.0,0.0,1.25
