id,firmannualreportid,ispassive,isadvisor,age,ownershippercent,yearjoinedfirm
79,37,False,True,55.0,25.0,2011.0
80,38,False,True,76.0,100.0,1984.0
81,39,False,True,50.0,44.0,2002.0
82,39,False,True,43.0,23.0,2002.0
83,39,True,False,59.0,33.0,2002.0
84,40,False,True,50.0,44.0,2002.0
85,40,False,True,43.0,23.0,2002.0
86,40,True,False,59.0,33.0,2002.0
87,41,False,True,36.0,100.0,2012.0
88,42,False,True,45.0,100.0,2010.0
89,43,False,True,69.0,100.0,1999.0
90,44,False,True,68.0,100.0,2010.0
91,45,False,False,50.0,100.0,2006.0
92,46,False,True,35.0,50.0,2010.0
93,46,False,True,35.0,50.0,2010.0
94,47,False,True,65.0,100.0,1981.0
95,48,False,True,59.0,100.0,2003.0
96,49,False,True,59.0,100.0,2003.0
97,50,False,True,59.0,100.0,2003.0
98,51,True,False,47.0,26.2,2001.0
99,51,False,False,54.0,25.7,2001.0
100,51,False,True,65.0,17.7,2002.0
101,52,False,True,45.0,50.0,2009.0
102,52,False,True,41.0,50.0,2009.0
103,53,False,True,56.0,100.0,2006.0
104,54,False,True,70.0,100.0,1985.0
105,55,False,True,52.0,37.0,2003.0
106,55,False,True,49.0,37.0,2003.0
107,55,False,True,50.0,20.0,2005.0
108,55,False,True,36.0,5.0,2003.0
109,55,False,True,40.0,1.0,2008.0
110,56,False,True,68.0,60.0,1998.0
111,56,True,False,53.0,40.0,1998.0
112,57,False,True,37.0,45.4,2004.0
113,57,False,True,43.0,45.4,2006.0
114,57,True,False,67.0,6.0,2004.0
115,57,True,False,69.0,3.2,2010.0
116,58,False,True,37.0,45.4,2004.0
117,58,False,True,43.0,45.4,2006.0
118,58,True,False,67.0,6.0,2004.0
119,58,True,False,69.0,3.2,2010.0
120,59,False,True,54.0,50.0,2010.0
121,59,False,True,54.0,50.0,2010.0
122,60,False,True,56.0,100.0,2008.0
123,61,False,True,45.0,70.0,2011.0
124,61,False,True,43.0,30.0,2013.0
125,62,False,True,49.0,100.0,2003.0
126,63,False,True,45.0,20.0,1970.0
127,64,False,True,38.0,49.5,2014.0
128,64,False,True,42.0,49.5,2014.0
129,64,False,True,36.0,1.0,2014.0
130,65,False,True,50.0,100.0,2000.0
131,66,False,True,42.0,100.0,2014.0
132,67,False,True,44.0,98.0,2014.0
133,67,False,True,34.0,2.0,2014.0
134,68,False,True,48.0,50.0,1996.0
135,68,False,True,48.0,50.0,2003.0
136,69,False,True,54.0,100.0,2004.0
137,70,False,True,54.0,100.0,2004.0
138,71,False,True,58.0,100.0,2011.0
139,72,False,True,52.0,50.0,1996.0
140,72,True,False,60.0,50.0,1996.0
141,73,False,True,63.0,100.0,2002.0
