Id,OtherPercent,EquityPercent,FixedIncomePercent,MutualFundsPercent,MunicipalsPercent,CommoditiesPercent,ManagedMoneyPercent,InsurancePercent,AnnuityPercent,FinancialPlanningAndConsultingPercent,OtherServicesPercent
69,0.0,33.0,15.0,15.0,5.0,0.0,32.0,0.0,0.0,0.0,0.0
70,0.0,15.0,10.0,5.0,5.0,0.0,65.0,0.0,0.0,0.0,0.0
71,0.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
72,0.0,0.5,1.5,7.5,0.75,0.0,73.0,0.5,16.25,0.0,0.0
73,0.0,1.0,1.2,9.5,0.75,0.0,72.0,0.5,15.0,0.0,0.0
74,0.0,7.0,0.0,15.0,0.0,0.0,70.0,1.0,7.0,0.0,0.0
75,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,27.5,0.0,0.0,3.0,3.94,22.85,0.0,42.71
77,0.0,0.0,0.0,6.0,0.0,0.0,23.0,47.0,24.0,0.0,0.0
78,0.0,0.0,0.0,49.0,0.0,0.0,50.0,0.0,0.0,1.0,0.0
79,0.0,0.0,0.0,27.5,0.0,0.0,3.0,3.94,22.85,0.0,42.71
80,0.0,0.0,0.0,12.03,0.0,32.76,31.8,15.3,6.11,2.0,0.0
81,0.0,0.0,28.8,0.0,0.0,0.0,61.2,10.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
83,0.0,17.27,11.7,13.7,6.03,0.0,40.3,0.0,7.0,4.0,0.0
84,0.0,16.27,15.7,11.7,6.03,0.0,46.3,0.0,4.0,0.0,0.0
85,0.0,10.67,24.3,8.7,6.03,0.0,46.3,0.0,4.0,0.0,0.0
86,0.0,0.0,0.0,15.1,0.0,0.0,82.6,0.3,2.0,0.0,0.0
87,0.0,25.0,30.0,25.0,0.0,0.0,15.0,0.0,0.0,0.0,5.0
88,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,2.0,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,2.0,0.0
90,0.0,28.0,10.0,10.0,5.0,0.0,45.0,0.0,2.0,0.0,0.0
91,0.0,30.0,5.0,10.0,5.0,0.0,40.0,5.0,5.0,0.0,0.0
92,0.0,0.04,1.07,11.76,0.32,0.0,75.05,0.0,11.76,0.0,0.0
93,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,5.0,11.0,0.0,4.0,67.0,1.0,0.0,6.0,6.0
95,0.0,0.0,0.0,0.0,0.0,0.0,90.0,8.0,0.0,2.0,0.0
96,0.0,35.0,25.0,21.0,10.0,2.0,0.0,0.0,7.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,1.0,2.0
98,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,1.0,2.0
99,0.0,2.0,15.0,40.0,0.0,4.0,0.0,0.0,0.0,10.0,29.0
100,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
101,0.0,0.0,25.0,60.0,0.0,0.0,5.0,0.0,0.0,7.0,3.0
102,0.0,2.0,15.0,40.0,0.0,4.0,0.0,0.0,0.0,10.0,29.0
103,0.0,5.39,0.0,90.69,0.0,0.0,0.0,2.9,0.0,1.02,0.0
104,0.0,5.39,0.0,90.02,0.0,0.0,0.0,2.9,0.0,1.69,0.0
105,0.0,13.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
106,0.0,15.0,20.0,15.0,18.0,32.0,0.0,0.0,0.0,0.0,0.0
107,0.0,22.0,0.0,57.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0
108,0.0,0.0,30.0,30.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0
110,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
111,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
113,0.0,0.0,0.0,70.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0
115,0.0,0.0,5.0,70.0,5.0,0.0,0.0,0.0,0.0,20.0,0.0
116,0.0,0.0,5.0,70.0,5.0,0.0,0.0,0.0,0.0,20.0,0.0
117,0.0,0.0,10.0,45.0,0.0,20.0,25.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,5.0,0.0,0.0,15.0,65.0,15.0,0.0,0.0
120,0.0,0.0,0.0,1.77,0.0,0.0,96.82,0.1,1.31,0.0,0.0
122,0.0,19.0,0.0,0.0,0.0,0.0,0.0,74.0,7.0,0.0,0.0
123,0.0,6.6,0.0,0.0,0.0,0.0,46.9,44.5,0.0,0.0,1.9
124,0.0,3.0,5.0,25.0,2.0,0.0,51.0,1.0,12.0,0.0,1.0
125,0.0,5.0,5.0,35.0,5.0,0.0,43.0,2.0,5.0,0.0,0.0
126,0.0,5.0,5.0,35.0,5.0,0.0,43.0,2.0,5.0,0.0,0.0
127,0.0,25.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,85.0,0.0
129,0.0,10.0,9.0,5.0,1.0,1.0,68.0,3.0,3.0,0.0,0.0
130,0.0,10.0,5.0,10.0,0.0,5.0,60.0,5.0,5.0,0.0,0.0
131,0.0,0.0,2.0,5.0,0.0,0.0,70.0,0.0,18.0,0.0,5.0
132,0.0,0.0,0.0,2.0,0.0,0.0,93.0,0.0,5.0,0.0,0.0
133,0.0,0.0,0.0,6.0,0.0,0.0,82.0,0.0,12.0,0.0,0.0
134,0.0,0.0,0.0,2.0,0.0,1.0,71.0,1.0,25.0,0.0,0.0
136,0.0,5.0,0.0,45.0,0.0,0.0,30.0,0.0,20.0,0.0,0.0
137,0.0,5.0,0.0,40.0,0.0,0.0,40.0,0.0,15.0,0.0,0.0
138,0.0,5.0,0.0,40.0,0.0,0.0,40.0,0.0,15.0,0.0,0.0
139,0.0,15.0,2.0,80.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
140,0.0,3.0,1.0,24.0,0.0,0.0,56.0,1.0,8.5,0.0,0.0
141,0.0,3.0,1.0,24.0,0.0,0.0,56.0,1.0,8.5,0.0,0.0
142,0.0,2.87,1.98,6.77,0.0,0.0,74.28,1.16,3.07,0.0,9.87
143,0.0,0.0,0.0,95.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,0.0,10.0,0.0,5.0,5.0,0.0,50.0,0.0,0.0,0.0,0.0
146,0.0,5.0,0.0,12.0,0.0,0.0,5.0,7.0,65.0,0.0,0.0
147,0.0,5.0,0.0,70.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
148,0.0,2.0,0.0,72.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0
149,0.0,5.0,0.0,70.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,25.0,0.0
151,0.0,40.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0
152,0.0,0.0,0.0,8.0,0.0,0.0,37.0,5.0,50.0,0.0,0.0
153,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,13.0,67.0,9.0
154,0.0,0.3,0.0,11.0,0.0,4.0,65.7,0.0,18.5,0.5,0.0
155,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
156,0.0,3.0,25.0,11.0,2.0,0.0,37.0,0.0,21.0,0.0,1.0
157,0.0,3.0,25.0,11.0,2.0,0.0,37.0,0.0,21.0,0.0,1.0
158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
159,0.0,10.0,20.0,30.0,2.0,20.0,10.0,3.0,5.0,0.0,0.0
160,0.0,2.0,5.0,22.0,3.0,10.0,30.0,5.0,20.0,3.0,0.0
161,0.0,4.0,0.0,55.0,5.0,5.0,0.0,3.0,25.0,3.0,0.0
162,0.0,5.0,1.0,5.0,0.0,0.0,80.0,1.0,8.0,0.0,0.0
163,0.0,23.0,22.0,15.0,35.0,0.0,0.0,3.0,2.0,0.0,0.0
164,0.0,23.0,22.0,15.0,35.0,0.0,0.0,3.0,2.0,0.0,0.0
165,0.0,56.0,6.0,17.0,6.0,0.0,0.0,0.0,0.0,3.0,12.0
166,0.0,56.0,6.0,17.0,6.0,0.0,0.0,0.0,0.0,3.0,12.0
167,0.0,4.5,0.5,6.0,1.5,0.0,31.0,29.0,27.5,0.0,0.0
168,0.0,4.5,0.5,6.0,1.5,0.0,31.0,29.0,27.5,0.0,0.0
169,0.0,3.0,3.0,63.0,0.0,0.0,24.0,0.0,7.0,0.0,0.0
170,0.0,3.0,7.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
171,0.0,3.0,7.0,60.0,0.0,0.0,25.0,0.0,5.0,0.0,0.0
172,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,0.0,0.0,0.0,70.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0
174,0.0,2.0,5.0,4.0,1.0,0.0,80.0,1.0,0.0,2.0,0.0
175,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
176,0.0,2.0,0.0,9.0,0.0,0.0,69.0,0.0,20.0,0.0,0.0
177,0.0,2.0,0.0,9.0,0.0,0.0,69.0,0.0,20.0,0.0,0.0
178,0.0,2.0,0.0,9.0,0.0,0.0,69.0,0.0,20.0,0.0,0.0
179,0.0,0.0,0.0,99.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
180,0.0,0.0,0.0,99.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
181,0.0,62.83,23.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.51
182,0.0,2.0,5.0,50.0,3.0,0.0,20.0,10.0,10.0,0.0,0.0
183,0.0,14.66,4.66,20.76,4.59,0.0,32.0,3.25,19.5,0.0,0.58
184,0.0,14.66,4.66,20.76,4.59,0.0,32.0,3.25,19.5,0.0,0.58
186,0.0,10.0,10.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,0.0,27.0,0.7,4.2,0.0,0.0,63.0,0.0,4.1,0.0,1.0
188,0.0,27.0,1.0,4.5,0.0,0.0,63.0,0.0,4.5,0.0,0.0
189,0.0,0.0,0.0,8.25,0.0,0.0,68.92,13.14,4.2,2.89,2.6
190,0.0,5.0,0.0,7.0,1.0,0.0,80.0,3.0,4.0,0.0,0.0
191,0.0,0.08,0.0,0.9,0.0,0.0,88.32,1.5,6.8,0.0,2.4
192,0.0,1.0,0.0,1.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0
193,0.0,1.0,0.0,2.0,0.0,0.0,93.0,0.0,4.0,0.0,0.0
194,0.0,1.0,0.0,2.0,0.0,0.0,95.0,0.0,2.0,0.0,0.0
195,0.0,0.0,0.0,0.0,0.0,0.0,98.73,0.0,0.15,0.0,1.12
197,0.0,1.0,1.0,28.0,0.0,0.0,41.0,0.0,29.0,0.0,0.0
